ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
4039 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.022302 51.0192526, -114.0228665 51.0192536, -114.0228666 51.0191166, -114.0228667 51.0189797, -114.0228668 51.0188428, -114.0228669 51.0187524, -114.0223665 51.0187517, -114.0223024 51.018792, -114.0223024 51.018842, -114.0223023 51.0189789, -114.0223022 51.0191158, -114.022302 51.0192526)))"
3812 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0214501 51.0213501, -114.0220145 51.0213517, -114.0220146 51.0212146, -114.0214501 51.0212131, -114.0214501 51.0213501)))"
3640 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0229531 51.0220803, -114.0235188 51.0220811, -114.0235186 51.0219442, -114.0235185 51.0218073, -114.0229531 51.0218064, -114.0229531 51.0219433, -114.0229531 51.0220803)))"
3604 BURNSLAND RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.057224 51.0228101, -114.0571847 51.0228645, -114.0571398 51.0229269, -114.0570948 51.0229892, -114.0569581 51.0231789, -114.0576099 51.023179, -114.0576349 51.0231443, -114.0576799 51.023082, -114.0577248 51.0230196, -114.0577641 51.0229653, -114.057224 51.0228101)))"
4039 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0223019 51.0195264, -114.0228663 51.0195274, -114.0228664 51.0193905, -114.0228665 51.0192536, -114.022302 51.0192526, -114.0223019 51.0193895, -114.0223019 51.0195264)))"
3812 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0214501 51.0212131, -114.0220146 51.0212146, -114.0220146 51.0210774, -114.0214501 51.0210761, -114.0214501 51.0212131)))"
3821 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238051 51.0209423, -114.0243699 51.0209433, -114.0243699 51.0208063, -114.0238052 51.0208054, -114.0238051 51.0209423)))"
3616 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0555602 51.0227399, -114.0561009 51.0228953, -114.0561458 51.0228329, -114.0561907 51.0227705, -114.0562356 51.0227081, -114.0562804 51.0226458, -114.0557398 51.0224905, -114.0556949 51.0225528, -114.05565 51.0226152, -114.0556051 51.0226776, -114.0555602 51.0227399)))"
1603 38 AV SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0244572 51.018982, -114.0244572 51.0191189, -114.0244571 51.0192559, -114.0244571 51.0193929, -114.0244571 51.0195299, -114.024457 51.0196668, -114.024457 51.0198038, -114.024457 51.0199408, -114.0244569 51.0200778, -114.0250202 51.0200787, -114.0250202 51.0199417, -114.0250202 51.0198047, -114.0250202 51.0196677, -114.0250202 51.0195307, -114.0250203 51.0193937, -114.0250203 51.0192566, -114.0250203 51.0191196, -114.0250203 51.0189826, -114.0244572 51.018982)))"
3610 BURNSLAND RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.057224 51.0228101, -114.0577641 51.0229653, -114.0577698 51.0229573, -114.0578148 51.022895, -114.057854 51.0228406, -114.0573139 51.0226854, -114.0572746 51.0227399, -114.0572297 51.0228022, -114.057224 51.0228101)))"
4012 16A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0199471 51.0197969, -114.019947 51.0198955, -114.0199868 51.0199362, -114.0205124 51.019935, -114.0205125 51.019798, -114.0199471 51.0197969)))"
4015 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238073 51.018981, -114.023807 51.019118, -114.0238068 51.0192549, -114.0238065 51.0193919, -114.0238063 51.0195288, -114.0238061 51.0196658, -114.0238058 51.0198028, -114.0238056 51.0199397, -114.0238054 51.0200767, -114.0243701 51.0200776, -114.0243701 51.0199407, -114.0243701 51.0198037, -114.0243702 51.0196667, -114.0243702 51.0195297, -114.0243702 51.0193928, -114.0243703 51.0192558, -114.0243703 51.0191188, -114.0243703 51.0189818, -114.0238073 51.018981)))"
3612 BURNSLAND RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0573139 51.0226854, -114.057854 51.0228406, -114.0578597 51.0228327, -114.0579047 51.0227704, -114.0573645 51.0226152, -114.0573195 51.0226776, -114.0573139 51.0226854)))"
3619 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238059 51.0226288, -114.0243699 51.0226294, -114.0243698 51.0224926, -114.0243698 51.0223559, -114.0238056 51.0223552, -114.0238057 51.022492, -114.0238059 51.0226288)))"
4016 16A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0199471 51.0197969, -114.0205125 51.019798, -114.0205126 51.019661, -114.0199472 51.01966, -114.0199471 51.0197969)))"
4035 14 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0282274 51.0188437, -114.0282273 51.0189121, -114.0282272 51.0189806, -114.0287711 51.0189804, -114.0287712 51.018912, -114.0287713 51.0188436, -114.0282274 51.0188437)))"
3922 3A ST NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0527564 51.0879383, -114.0533806 51.0879413, -114.0533819 51.0878016, -114.0527533 51.0877986, -114.0527564 51.0879383)))"
4012 16A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0199868 51.0199362, -114.0205121 51.0204726, -114.0205124 51.019935, -114.0199868 51.0199362)))"
4062 OGDEN RD SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0244572 51.018982, -114.0250203 51.0189826, -114.0250203 51.0188456, -114.0250203 51.0187086, -114.0244573 51.018708, -114.0244573 51.0187546, -114.0244572 51.018845, -114.0244572 51.018982)))"
3922 3A ST NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0527533 51.0877986, -114.0533819 51.0878016, -114.0533833 51.0876592, -114.0527501 51.0876561, -114.0527533 51.0877986)))"
