ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
406 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
407 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
408 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
501 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
502 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
503 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
504 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
505 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
506 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
507 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
508 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
601 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
602 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
603 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
604 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
605 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
606 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
607 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
608 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
701 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
702 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
703 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
704 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
705 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
706 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
707 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
708 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
801 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
802 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
803 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
804 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
805 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
806 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
807 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
808 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
901 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
902 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
903 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
904 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
905 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
906 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
907 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
908 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1001 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1002 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1003 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1004 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1005 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1006 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1007 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1008 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1101 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1102 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1103 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1104 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1105 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1106 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1107 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
1108 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
