ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
9615 MACLEOD TR SW,Non-Residential,HAYSBORO,"C-COR3,I-G","MULTIPOLYGON (((-114.0730947 50.9713686, -114.0732613 50.9713687, -114.0737885 50.9713687, -114.0737439 50.9714988, -114.0738251 50.9715923, -114.0743658 50.9700144, -114.0742436 50.9700746, -114.0742303 50.9700811, -114.074092 50.9704842, -114.0720271 50.9704833, -114.072027 50.9705466, -114.0720261 50.9709576, -114.0730964 50.9709579, -114.0730947 50.9713686)))"
4206 MACLEOD TR SE,Non-Residential,MANCHESTER INDUSTRIAL,"C-COR3,I-G","MULTIPOLYGON (((-114.0620259 51.0163169, -114.0618776 51.016387, -114.0618321 51.0164085, -114.0618095 51.0164215, -114.0617913 51.016437, -114.0617783 51.0164545, -114.061771 51.0164732, -114.061692 51.0168136, -114.0617352 51.0168136, -114.0616399 51.0172237, -114.0616831 51.0172237, -114.0620607 51.0172233, -114.0623141 51.0168129, -114.0637158 51.0168111, -114.0640392 51.016287, -114.064039 51.0162647, -114.0640335 51.0162427, -114.0640277 51.0162305, -114.0640193 51.016219, -114.0640084 51.0162083, -114.0639954 51.0161985, -114.0639805 51.01619, -114.0639638 51.0161829, -114.0639457 51.0161772, -114.0639266 51.0161731, -114.062774 51.0161754, -114.0625826 51.0161757, -114.0623233 51.0161763, -114.0620259 51.0163169)))"
5711R 1 ST SE,Non-Residential,MANCHESTER INDUSTRIAL,"C-COR3,I-G","MULTIPOLYGON (((-114.064301 51.0049165, -114.0642158 51.0055271, -114.0643039 51.0055267, -114.0648651 51.0014898, -114.0647783 51.0014899, -114.0647726 51.0015364, -114.0645394 51.0032081, -114.0645207 51.0033423, -114.06445 51.0038491, -114.0644463 51.0038751, -114.0643775 51.0043686, -114.064301 51.0049165)))"
128 28 ST SE,Non-Residential,FRANKLIN,"C-COR3,I-G","MULTIPOLYGON (((-113.9915673 51.0510314, -113.9915691 51.051498, -113.993175 51.0514957, -113.9931732 51.0510295, -113.9923716 51.0510305, -113.9915673 51.0510314)))"
3806 MACLEOD TR SE,Non-Residential,MANCHESTER INDUSTRIAL,"C-COR3,I-G","MULTIPOLYGON (((-114.0596642 51.0208141, -114.0596366 51.0208061, -114.0594049 51.0211273, -114.0593935 51.0211461, -114.0593858 51.0211657, -114.0593822 51.0211857, -114.0593825 51.0212059, -114.0593867 51.0212259, -114.0593949 51.0212453, -114.0594069 51.021264, -114.0594225 51.0212817, -114.0594414 51.0212979, -114.0594634 51.0213126, -114.0594882 51.0213254, -114.0595153 51.0213362, -114.0595442 51.0213447, -114.0595747 51.021351, -114.0596062 51.0213548, -114.0596382 51.0213561, -114.0605089 51.0213567, -114.060687 51.0211095, -114.0596642 51.0208141)))"
3828 MACLEOD TR SE,Non-Residential,MANCHESTER INDUSTRIAL,"C-COR3,I-G","MULTIPOLYGON (((-114.0596642 51.0208141, -114.060687 51.0211095, -114.0607321 51.021047, -114.0607827 51.0209107, -114.0612791 51.0202232, -114.0608718 51.0201059, -114.0607369 51.0202928, -114.06065 51.0202678, -114.060677 51.0202304, -114.0605663 51.0201985, -114.0606203 51.0201237, -114.0606994 51.0201465, -114.0607353 51.0200966, -114.0607669 51.0201057, -114.0607849 51.0200809, -114.0602948 51.0199398, -114.0596642 51.0208141)))"
4114 MACLEOD TR SE,Non-Residential,MANCHESTER INDUSTRIAL,"C-COR3,I-G","MULTIPOLYGON (((-114.0620608 51.0172231, -114.0620607 51.0172233, -114.0622207 51.0172699, -114.0622209 51.0172699, -114.0626922 51.0174073, -114.0627711 51.0174303, -114.0629219 51.0172223, -114.0629222 51.0172223, -114.0630922 51.0172222, -114.0634055 51.0173135, -114.0634056 51.0173133, -114.0637158 51.0168111, -114.0623141 51.0168129, -114.0620608 51.0172231)))"
2908 2 AV SE,Non-Residential,FRANKLIN,"C-COR3,I-G","MULTIPOLYGON (((-113.9915654 51.0505256, -113.9915658 51.0506296, -113.9915673 51.0510314, -113.9923716 51.0510305, -113.9923703 51.0507033, -113.9919399 51.0504006, -113.9918515 51.0504377, -113.9917593 51.050471, -113.9916638 51.0505004, -113.9915654 51.0505256)))"
2908 2 AV SE,Non-Residential,FRANKLIN,"C-COR3,I-G","MULTIPOLYGON (((-113.9915654 51.0505256, -113.9915658 51.0506296, -113.9915673 51.0510314, -113.9923716 51.0510305, -113.9923703 51.0507033, -113.9919399 51.0504006, -113.9918515 51.0504377, -113.9917593 51.050471, -113.9916638 51.0505004, -113.9915654 51.0505256)))"
188 28 ST SE,Non-Residential,FRANKLIN,"C-COR3,I-G","MULTIPOLYGON (((-113.9923703 51.0507033, -113.9923716 51.0510305, -113.9931732 51.0510295, -113.9931728 51.0509181, -113.9931717 51.0508912, -113.9931687 51.0508643, -113.9931637 51.0508376, -113.9931568 51.050811, -113.993148 51.0507847, -113.9931374 51.0507586, -113.9931248 51.0507329, -113.9931104 51.0507075, -113.9930942 51.0506826, -113.9930762 51.0506582, -113.9930564 51.0506343, -113.993035 51.050611, -113.9930119 51.0505883, -113.9929872 51.0505664, -113.9929609 51.0505451, -113.9929331 51.0505246, -113.9923703 51.0507033)))"
