ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
3575 20 AV NE,Non-Residential,SUNRIDGE,C-R3,"MULTIPOLYGON (((-113.9831149 51.068172, -113.9830441 51.0682189, -113.9829763 51.0682675, -113.9829116 51.0683177, -113.9828501 51.0683695, -113.9827919 51.0684228, -113.9827371 51.0684775, -113.9826857 51.0685335, -113.9826379 51.0685907, -113.9826378 51.0685912, -113.982637 51.0685921, -113.9825863 51.06866, -113.9825405 51.0687294, -113.9824998 51.0687999, -113.9824642 51.0688716, -113.9824458 51.0689137, -113.9824291 51.0689561, -113.9824143 51.0689988, -113.9824012 51.0690418, -113.98239 51.0690849, -113.9823806 51.0691282, -113.982373 51.0691717, -113.9823672 51.0692153, -113.9821992 51.0707502, -113.9821878 51.0708598, -113.9821545 51.0711586, -113.9821541 51.0711726, -113.982156 51.0711866, -113.9821602 51.0712004, -113.9821665 51.0712138, -113.9821751 51.0712267, -113.9821857 51.0712391, -113.9821982 51.0712507, -113.9822125 51.0712614, -113.9822286 51.0712711, -113.9822461 51.0712798, -113.982265 51.0712873, -113.9822849 51.0712935, -113.9823058 51.0712984, -113.9823274 51.071302, -113.9823494 51.0713042, -113.9823717 51.0713049, -113.9826425 51.0713047, -113.9842575 51.0713034, -113.9843759 51.071302, -113.9844941 51.0712979, -113.984612 51.0712913, -113.9847295 51.071282, -113.9848464 51.0712701, -113.9849625 51.0712556, -113.9850777 51.0712385, -113.9851919 51.0712189, -113.9852241 51.0712111, -113.9852539 51.0712002, -113.9852806 51.0711865, -113.9853033 51.0711702, -113.9853217 51.0711519, -113.9853351 51.0711319, -113.9853433 51.0711109, -113.985346 51.0710893, -113.9853457 51.0709226, -113.9853468 51.0708351, -113.9853501 51.0707476, -113.9853563 51.0706554, -113.985365 51.0705632, -113.9854656 51.0696407, -113.9854721 51.0695958, -113.9854818 51.0695511, -113.9854946 51.0695067, -113.9855105 51.0694627, -113.9855295 51.0694191, -113.9855516 51.0693762, -113.9855766 51.0693339, -113.9856047 51.0692924, -113.9857938 51.0690284, -113.9858088 51.0690075, -113.9858163 51.0689955, -113.985822 51.0689832, -113.9858257 51.0689706, -113.9858276 51.0689578, -113.9858266 51.0689376, -113.9858207 51.0689176, -113.9858102 51.0688985, -113.9857952 51.0688805, -113.9857761 51.0688642, -113.9857534 51.0688498, -113.9857274 51.0688378, -113.9856989 51.0688283, -113.9835432 51.0682397, -113.9834919 51.0682264, -113.9834398 51.0682145, -113.9833869 51.068204, -113.9833334 51.0681948, -113.9832794 51.068187, -113.9832249 51.0681806, -113.98317 51.0681756, -113.9831149 51.068172)))"
3351 20 AV NE,Non-Residential,SUNRIDGE,C-R3,"MULTIPOLYGON (((-113.9876869 51.0699811, -113.9867344 51.0699817, -113.9867345 51.0702523, -113.9867353 51.0708615, -113.987226 51.070746, -113.9872311 51.0707448, -113.9873328 51.0707221, -113.9874356 51.0707015, -113.9875395 51.0706831, -113.9876443 51.0706668, -113.9876871 51.0706609, -113.9876869 51.0699811)))"
303 SHAWVILLE BV SE,Non-Residential,SHAWNESSY,C-R3,"MULTIPOLYGON (((-114.0661026 50.8990654, -114.0660947 50.8990527, -114.066083 50.8990414, -114.0660679 50.8990317, -114.06605 50.8990242, -114.0660301 50.899019, -114.066009 50.8990165, -114.0659875 50.8990167, -114.0659665 50.8990197, -114.0636449 50.8995061, -114.0636252 50.8995117, -114.0636078 50.8995196, -114.0635932 50.8995296, -114.0635821 50.8995413, -114.0635749 50.8995541, -114.0635719 50.8995675, -114.0635732 50.8995811, -114.0635789 50.8995942, -114.0644275 50.9009942, -114.0644367 50.9010059, -114.0644493 50.9010162, -114.0644648 50.9010248, -114.0644827 50.9010314, -114.0645023 50.9010356, -114.0645228 50.9010374, -114.0645434 50.9010367, -114.0645635 50.9010334, -114.0646325 50.9010164, -114.0647003 50.9009973, -114.0647666 50.9009764, -114.0648313 50.9009535, -114.0648942 50.9009288, -114.0649554 50.9009023, -114.0650145 50.9008741, -114.0650715 50.9008442, -114.0651263 50.9008127, -114.0651788 50.9007797, -114.0652288 50.9007451, -114.0652763 50.9007092, -114.0653211 50.9006719, -114.0653631 50.9006334, -114.0654024 50.9005937, -114.0654387 50.9005529, -114.065934 50.899966, -114.0659741 50.8999163, -114.0660112 50.8998656, -114.0660452 50.8998141, -114.0660762 50.8997618, -114.0661041 50.8997089, -114.0661287 50.8996553, -114.0661502 50.8996011, -114.0661684 50.8995465, -114.0661803 50.899504, -114.0661902 50.8994614, -114.0661958 50.8994274, -114.0661987 50.8993932, -114.0661988 50.8993591, -114.0661961 50.8993249, -114.0661908 50.8992909, -114.0661827 50.8992571, -114.0661719 50.8992236, -114.0661585 50.8991905, -114.0661026 50.8990654)))"
3321 20 AV NE,Non-Residential,SUNRIDGE,C-R3,"MULTIPOLYGON (((-113.9876871 51.0706609, -113.9878363 51.0706429, -113.9879868 51.0706294, -113.9881381 51.0706203, -113.9882899 51.0706157, -113.9883105 51.0706147, -113.9883309 51.0706125, -113.9883508 51.070609, -113.9883701 51.0706044, -113.9883887 51.0705986, -113.9884062 51.0705917, -113.9884226 51.0705838, -113.9884377 51.0705749, -113.9884514 51.0705651, -113.9884635 51.0705546, -113.988474 51.0705434, -113.9884827 51.0705316, -113.9884895 51.0705193, -113.9884944 51.0705067, -113.9884974 51.0704938, -113.9884983 51.0704808, -113.9885026 51.070362, -113.9884979 51.0699806, -113.9876869 51.0699811, -113.9876871 51.0706609)))"
5120 SHAGANAPPI TR NW,Non-Residential,BRENTWOOD,C-R3,"MULTIPOLYGON (((-114.142788 51.1010266, -114.143246 51.1013341, -114.1438245 51.1010268, -114.1430622 51.1010266, -114.142788 51.1010266)))"
343 36 ST NE,Non-Residential,FRANKLIN,C-R3,"MULTIPOLYGON (((-113.9858171 51.0520073, -113.9857935 51.0519933, -113.9857674 51.0519811, -113.9857391 51.051971, -113.9857091 51.0519632, -113.9856778 51.0519577, -113.9856457 51.0519547, -113.9856132 51.0519542, -113.9855809 51.0519561, -113.9850793 51.0520059, -113.9848802 51.0520444, -113.9846801 51.052081, -113.9844791 51.0521154, -113.9842772 51.0521479, -113.9840745 51.0521782, -113.983871 51.0522066, -113.9836669 51.0522328, -113.9834621 51.0522569, -113.9830715 51.0523009, -113.9830325 51.0523053, -113.982943 51.0523803, -113.9829431 51.0524922, -113.9829426 51.0537847, -113.9829426 51.0538656, -113.9829426 51.0538674, -113.9830709 51.0538673, -113.983465 51.0538672, -113.9858898 51.0538664, -113.9858896 51.0538601, -113.9858898 51.0537469, -113.9858888 51.0521166, -113.9858852 51.0520937, -113.9858765 51.0520714, -113.9858632 51.05205, -113.9858453 51.0520299, -113.985832 51.0520182, -113.9858171 51.0520073)))"
11540 24 ST SE,Non-Residential,SHEPARD INDUSTRIAL,C-R3,"MULTIPOLYGON (((-114.0005424 50.9510155, -114.0009235 50.9512037, -114.0010303 50.9512564, -114.0015412 50.9509015, -114.0018275 50.9507026, -114.0018574 50.9506818, -114.0019294 50.9506318, -114.0020872 50.9505222, -114.0023472 50.9503419, -114.0024122 50.9502967, -114.0023845 50.9502822, -114.002312 50.9502451, -114.0022415 50.9502065, -114.0021733 50.9501663, -114.0021072 50.9501247, -114.0020435 50.9500817, -114.0019822 50.9500373, -114.0019233 50.9499916, -114.001867 50.9499446, -114.0018273 50.9499767, -114.0013761 50.9503415, -114.0011971 50.9504863, -114.0007089 50.950881, -114.0006914 50.9508951, -114.0006824 50.9509024, -114.0006607 50.9509199, -114.0006519 50.950927, -114.0006301 50.9509446, -114.0006257 50.9509483, -114.0005424 50.9510155)))"
350 SHAWVILLE BV SE,Non-Residential,SHAWNESSY,C-R3,"MULTIPOLYGON (((-114.060827 50.8980421, -114.0618799 50.8997793, -114.063061 50.8994931, -114.0620082 50.8977558, -114.060827 50.8980421)))"
3333 SUNRIDGE WY NE,Non-Residential,SUNRIDGE,C-R3,"MULTIPOLYGON (((-113.9887055 51.06756, -113.988316 51.0675727, -113.9879819 51.0675836, -113.9877646 51.0685402, -113.9877116 51.0687736, -113.98776 51.068778, -113.9892814 51.0689151, -113.989388 51.0684454, -113.9895918 51.0675467, -113.9896022 51.0675008, -113.9888086 51.0675532, -113.9887055 51.06756)))"
399 36 ST NE,Non-Residential,FRANKLIN,C-R3,"MULTIPOLYGON (((-113.9834653 51.0545147, -113.9834654 51.0547228, -113.9858903 51.054722, -113.9858902 51.0545137, -113.9858898 51.0538664, -113.983465 51.0538672, -113.9834653 51.0545147)))"
