ADDRESS,POINTS
2520 52 ST NE,8123.495 3028.098|8092.743 3028.354|8092.743 3028.443|8034.128 3028.521|8034.121 3024.862|7988.362 2993.628|7917.317 2993.661|7917.282 2920.917|7917.282 2906.606|7917.422 2905.128|7917.856 2903.693|7918.555 2902.381|7919.498 2901.225|7920.652 2900.280|7921.966 2899.579|7923.392 2899.145|7924.881 2898.990|7959.834 2899.001|8051.010 2894.731|8058.238 2894.575|8065.453 2894.130|8072.646 2893.385|8079.797 2892.340|8086.899 2891.006|8093.946 2889.371|8100.915 2887.448|8107.801 2885.246|8123.474 2879.853
2640 52 ST NE,8080.657 3129.875|8000.972 3132.699|7978.184 3130.464|7978.177 3114.663|7921.938 3114.686|7917.380 3110.115|7917.317 2993.661|7988.362 2993.628|8034.121 3024.862|8034.128 3028.521|8092.743 3028.443|8092.743 3028.354|8123.495 3028.098|8123.495 3048.825|8123.509 3094.793|8104.362 3094.793
2640 52 ST NE,8080.657 3129.875|8000.972 3132.699|7978.184 3130.464|7978.177 3114.663|7921.938 3114.686|7917.380 3110.115|7917.317 2993.661|7988.362 2993.628|8034.121 3024.862|8034.128 3028.521|8092.743 3028.443|8092.743 3028.354|8123.495 3028.098|8123.495 3048.825|8123.509 3094.793|8104.362 3094.793
