ADDRESS,POINTS
11V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
12V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
13V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
14V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
15V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
16V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
17V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
18V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
19V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
20V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
21V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
22V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
23V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
24V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
25V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
26V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
27V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
28V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
29V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
30V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
31V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
32V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
33V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
34V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
35V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
36V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
37V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
38V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
39V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
40V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
41V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
42V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
43V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
44V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
45V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
46V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
47V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
48V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
49V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
50V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
51V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
52V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
53V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
