ADDRESS,POINTS
184 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
182 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
180 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
178 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
176 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
174 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
172 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
170 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
168 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
166 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
164 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
162 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
160 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
158 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
156 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
154 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
152 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
150 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
