ADDRESS,POINTS
15311 1 ST SE,423.938 -14676.792|415.704 -14655.487|373.334 -14672.055|381.569 -14693.349
15315 1 ST SE,432.180 -14698.086|423.938 -14676.792|381.569 -14693.349|389.804 -14714.654
